id,kampong,mukim,district,gender,age,education,q_fbspeed,q_fbqual,q_mbqual,q_fbexpend,q_fbusage,q_limiting
21,Perumahan Negara Rimba Kawasan 5,Mukim Gadong A,Brunei-Muara,Male,58,National Certificate,65,Very Good,Good,477,640,I wish I could come home and catch up on work or watch streams without having to go out to grab lunch or meet with friends because I have access to internet elsewhere.
22,Kg. Beribi,Mukim Gadong B,Brunei-Muara,Male,56,Bachelor Degree,53,Good,Good,53,130,I only want to upgrade my internet plan and it's so frustrating when they send me these complex invoices that I can barely make sense of their pricing plans.
23,Kg. Bukit Beruang,Mukim Telisai,Tutong,Male,65,O Level,97,Fair,Very Good,53,300,It's really inconvenient that there isn't reliable Wi-Fi at my work location and I always end up using their internet outside of normal hours.
24,Kg. Mumong A,Mukim Kuala Belait,Belait,Male,39,O Level,802,Very Poor,Very Good,474,340,I'm really hesitant to upgrade my browser because one-time registration fees are just adding an extra expense I don't have budgeted for.
25,Kg. Rimba,Mukim Gadong A,Brunei-Muara,Male,43,Bachelor Degree,45,Fair,Excellent,377,550,"It's really frustrating when our family can only stream videos in 480p because every time we try to watch something in high definition it just won't buffer anymore, not worth the extra cost I guess."
26,Kg. Meragang,Mukim Serasa,Brunei-Muara,Male,37,Diploma,63,Good,Good,52,210,I'm super frustrated when I try to stream movies online because it's always buffering – I think my limited plan should at least allow for some decent streaming quality!
27,Kg. Lambak A,Mukim Berakas A,Brunei-Muara,Male,28,Lower Secondary,59,Poor,Fair,52,310,"I try to stream videos offline, but low-speed internet really slows everything down."
28,Kg. Peninjau,Mukim Sengkurong,Brunei-Muara,Male,29,National Diploma,57,Good,Excellent,352,360,I have to cut back on streaming binge-watching because I know I'll go over my limit and get extra fees that just add to my monthly bill.
29,Perumahan Negara Mentiri Kawasan A,Mukim Mentiri,Brunei-Muara,Female,44,O Level,220,Very Good,Very Good,337,730,I avoid doing banking stuff on public wifi because it's just too shady to trust that my info is safe from hackers.
30,Perumahan Negara Lambak Kanan Kawasan 2,Mukim Berakas B,Brunei-Muara,Female,29,O Level,95,Excellent,Good,320,840,I never use public computers or sign up for things online because I'm always worried about getting a virus or phishing scam that'll steal my identity.
31,Kg. Perpindahan Mata-Mata,Mukim Gadong B,Brunei-Muara,Male,30,National Certificate,12,Very Good,Good,34,130,"To be honest, it's frustrating when I try to stream a video on the weekend but the buffering gets so annoying that I end up giving up."
32,Kg. Serdang,Mukim Kota Batu,Brunei-Muara,Male,25,O Level,35,Very Good,Good,310,410,I've never gotten into things regularly because one-time payment for software is just way out of my budget.
33,Kg. Pandan C,Mukim Kuala Belait,Belait,Male,24,Higher National Diploma,144,Good,Good,297,540,My phone's slow data plan is such a pain when I'm at home with a decent Wi-Fi connection.
34,Kg. Menglait,Mukim Gadong B,Brunei-Muara,Male,50,Higher National Diploma,983,Excellent,Very Good,295,410,"I get frustrated when I have to wait on hold for hours just trying to answer one simple question about my bill and it's always ""can you verify your account"" kind of thing."
35,Kg. Selayun,Mukim Sengkurong,Brunei-Muara,Female,37,National Certificate,203,Excellent,Good,289,920,I rarely use apps that require one-time registration with such expensive payment fees.
36,Kg. Tanjong Maya,Mukim Tanjong Maya,Tutong,Female,31,Higher National Diploma,49,Very Good,Good,34,70,"To be honest, it's hard for me to keep track of how much we're spending on internet since our bill keeps going up like crazy whenever I try to upgrade my plan."
37,Perumahan Negara Lumut Kawasan 2,Mukim Liang,Belait,Male,27,Master Degree,603,Fair,Good,286,360,"To be honest, I don't really see the point of getting broadband at home when I've got reliable Wi-Fi at work."
38,Kg. Sengkurong A,Mukim Sengkurong,Brunei-Muara,Female,64,Bachelor Degree,52,Good,Fair,52,600,It's super frustrating that just one house on our block still doesn't have reliable internet!
39,Kg. Pad Nunok,Mukim Kiudang,Tutong,Female,58,O Level,148,Excellent,Fair,52,340,I'm really frustrated with my slow internet connection because it's hard when I want to stream videos for work.
40,Pekan Kuala Belait,Mukim Kuala Belait,Belait,Female,31,A Level,142,Very Good,Very Good,285,650,It's really hard for me to stay connected when their monthly fees jump up every few months.
41,Perumahan Negara Lumut Kawasan 2,Mukim Liang,Belait,Female,52,Lower Secondary,234,Good,Good,283,170,It's really hard for me to afford internet at home because one-time registration and installation costs are just way out of my budget every year.
42,Kg. Tanah Jambu,Mukim Mentiri,Brunei-Muara,Female,37,Lower Secondary,219,Very Good,Fair,283,910,"I live too far from the nearest town to get reliable internet, so I'm stuck with really slow mobile connections most of the time."
43,Kg. Pandan C,Mukim Kuala Belait,Belait,Female,47,O Level,205,Poor,Fair,34,110,I try to limit our monthly streaming package upgrade plans from $50/month.
44,Kg. Maraburong,Mukim Keriam,Tutong,Female,33,Bachelor Degree,57,Good,Good,282,700,I usually don't subscribe to all these services because the monthly fees add up way too quickly.
45,Perumahan Negara Lambak Kanan Kawasan 2,Mukim Berakas B,Brunei-Muara,Female,64,Diploma,65,Good,Fair,8,80,I try to watch less YouTube and only download movies because my limited data allowance is basically getting used up every week.
46,Kg. Pengiran Siraja Muda Delima Satu,Mukim Berakas A,Brunei-Muara,Female,20,O Level,172,Good,Poor,281,670,I'm tired of paying way too much for internet that just doesn't seem worth the cost this month.
47,Kg. Serusop,Mukim Berakas A,Brunei-Muara,Female,15,Higher National Diploma,141,Poor,Fair,280,240,"I actually just use my phone for most stuff, so having home internet isn't super crucial for me."
48,Kg. Tanjong Nangka,Mukim Sengkurong,Brunei-Muara,Female,42,Bachelor Degree,760,Very Good,Good,272,200,I don't stream enough movies or play games on it because even my basic browsing feels like taking forever over those last miles of fiber to our house.
49,Kg. Tanjong Nangka,Mukim Sengkurong,Brunei-Muara,Female,36,Bachelor Degree,51,Very Good,Poor,272,430,It's frustrating when I consider switching to a better internet provider because their prices are just out of budget for me every month.
50,Kg. Panchor Mentiri,Mukim Mentiri,Brunei-Muara,Male,48,Bachelor Degree,152,Good,Very Good,52,260,I rarely use online services anymore because one time registration fees are just too steep for my budget.
51,STKRJ Rimba,Mukim Gadong A,Brunei-Muara,Female,34,O Level,127,Fair,Good,271,270,"It's frustrating when I'm trying to make an important call but the line is always dropping or it's too slow, making me feel like I'm wasting my time."
52,Kg. Meragang,Mukim Serasa,Brunei-Muara,Female,33,Master Degree,63,Fair,Good,268,400,"It's hard for me when I'm out and about, so I rely on public Wi-Fi which is notoriously sketchy."
53,Kg. Anggerek Desa,Mukim Berakas A,Brunei-Muara,Male,62,Bachelor Degree,56,Very Good,Good,267,500,I avoid browsing the dark web at all costs because everyone's warning about it sounds way too realistic to be believable.
54,Kg. Serdang,Mukim Kota Batu,Brunei-Muara,Female,40,Bachelor Degree,1069,Very Good,Excellent,267,770,I avoid using public wifi places because I've had too many close calls with suspicious emails and fake websites trying to steal my personal info.
55,Kg. Pangkalan Gadong,Mukim Gadong B,Brunei-Muara,Male,60,Bachelor Degree,56,Good,Good,267,410,I find most internet services are too expensive because they cost way more than what I would need to stay connected with family and friends overseas.
56,Kg. Mata-Mata,Mukim Gadong B,Brunei-Muara,Female,40,Bachelor Degree,180,Good,Fair,52,110,I've had to cut back on using social media and streaming services a lot because it's just not affordable for me this month.
57,Kg. Lambak Kiri,Mukim Berakas A,Brunei-Muara,Female,28,Higher National Diploma,1012,Very Good,Excellent,34,280,It's ridiculously pricey for them to ask for another one-time fee when everything on their site should just be free.
58,Kg. Sungai Tilong,Mukim Berakas B,Brunei-Muara,Male,30,O Level,115,Good,Good,260,770,"I still try to stream my favorite shows from public libraries instead, even though it's a hassle."
59,Kg. Masin,Mukim Pangkalan Batu,Brunei-Muara,Male,28,National Diploma,176,Good,Good,254,620,"I try to stream videos on the go, but it's super frustrating when this data limit kicks in early and I'm left with no bars at all."
60,Kg. Lambak B,Mukim Berakas A,Brunei-Muara,Female,30,Diploma,233,Good,Good,253,120,I'm really frustrated with dropped calls and slow data speeds on my phone which makes it really annoying to use it for work.
61,Perumahan Negara Lambak Kanan Kawasan 2,Mukim Berakas B,Brunei-Muara,Male,37,Bachelor Degree,53,Good,Very Good,250,650,I have to be super selective with when I make phone calls in public because dropouts are so frustrating and ruin nearly every call.
62,Kg. Selayun,Mukim Sengkurong,Brunei-Muara,Female,20,Primary School,699,Fair,Very Good,246,520,"It's really frustrating when videos don't buffer all the way, it's hard when streaming services are always pausing me because I'm running low on data with this limited plan."
63,Kg. Madewa,Mukim Kilanas,Brunei-Muara,Female,34,Bachelor Degree,15,Very Good,Good,245,630,I've been putting off getting internet because one-time registration fees for cable bundles have added up to more than I want to pay initially.
64,Kg. Perpindahan Mata-Mata,Mukim Gadong B,Brunei-Muara,Female,16,National Diploma,52,Good,Very Good,241,290,I wish there was better internet out here at home because it's really frustrating to rely on mobile data for everything.
65,Kg. Lamunin,Mukim Lamunin,Tutong,Male,37,O Level,56,Good,Good,241,740,I avoid using public Wi-Fi at work because it's hard to keep track of how much I'm overspending on mobile data plans every month.
66,Kg. Bebatik,Mukim Pangkalan Batu,Brunei-Muara,Female,37,O Level,226,Fair,Good,241,620,"It's just not worth it to me, since you're asking for cash upfront – why did I even need the internet in the first place?"
67,Perumahan Negara Lambak Kanan Kawasan 1,Mukim Berakas B,Brunei-Muara,Male,53,Bachelor Degree,55,Very Good,Very Good,52,60,I rarely buy new software or apps due to how pricey the one-time registration fees usually end up being for just a single purchase.
68,Kg. Lorong Tiga Selatan,Mukim Seria,Belait,Male,38,Bachelor Degree,153,Excellent,Very Good,240,530,It's really frustrating for me when I have to pay hundreds of dollars once just to get started with internet services.
69,Kg. Pengiran Siraja Muda Delima Satu,Mukim Berakas A,Brunei-Muara,Male,22,National Diploma,42,Very Good,Good,239,790,I have to opt for cheaper internet options at home because going over 100GB with my current plan ends up costing way more than I'm making on my job during the summer months.
70,Kg. Pangkalan Gadong,Mukim Gadong B,Brunei-Muara,Female,59,O Level,76,Fair,Good,238,410,It's really frustrating when they ask for all that information upfront just to charge you more than I'd be willing to spend on reliable internet.
71,Bukit Bendera,Mukim Pekan Tutong,Tutong,Male,37,National Diploma,214,Fair,Fair,237,100,I always shop around for deals instead of sticking with the cheapest plan I could find because I get charged more in the long run.
72,Kg. Mumong A,Mukim Kuala Belait,Belait,Male,62,Bachelor Degree,32,Fair,Good,235,230,It's so frustrating when I try to stream something and it only lasts me 30 minutes because of my super slow data plan.
73,Perumahan Negara Lambak Kanan Kawasan 2,Mukim Berakas B,Brunei-Muara,Male,27,Bachelor Degree,56,Good,Good,225,570,It's really frustrating for me to use my phone on the go because poor mobile network coverage and quality of calls is just super annoying.
74,Perumahan Negara Lambak Kanan Kawasan 2,Mukim Berakas B,Brunei-Muara,Female,47,National Diploma,21,Good,Very Good,224,590,It's just so inconvenient that I have to use that public Wi-Fi at the library every time I need it.
75,Kg. Mulaut,Mukim Sengkurong,Brunei-Muara,Female,27,O Level,104,Fair,Fair,34,170,It's frustrating when my favorite shows buffer every time because our limited internet plan barely covers our streaming demands.
76,Kg. Jaya Setia,Mukim Berakas A,Brunei-Muara,Female,32,O Level,51,Very Good,Good,8,130,I rarely stream movies or games on my phone due to the spotty connection that always drops mid-buffer.
77,Kg. Panaga,Mukim Seria,Belait,Female,56,A Level,44,Very Good,Good,34,350,I have to spend way too much on internet plans and not receive nearly enough speeds in return.
78,Kg. Mata-Mata,Mukim Gadong B,Brunei-Muara,Male,44,Bachelor Degree,622,Poor,Good,52,60,"The site's membership costs are way out of range since you just need to give it your email address once and sometimes install a free app, that shouldn't break the bank."
79,Kg. Sungai Hanching,Mukim Berakas B,Brunei-Muara,Female,56,O Level,389,Very Good,Good,223,350,I have to shut down frequently because I'm consistently running out of data before the end of the month.
80,STKRJ Mata-Mata Kawasan 3,Mukim Gadong B,Brunei-Muara,Female,35,Bachelor Degree,60,Fair,Excellent,220,180,I have to deal with getting reimbursed for work expenses by hand every month due to the ridiculously complicated process of billing that seems like it was made for paper forms not computer software.
81,Kg. Sinarubai,Mukim Kilanas,Brunei-Muara,Female,35,Higher National Diploma,70,Excellent,Excellent,220,940,Data-heavy streaming is almost impossible for me every month when my slow plan can barely handle scrolling through social media.
82,Kg. Panaga,Mukim Seria,Belait,Male,30,Primary School,21,Very Good,Fair,219,690,"I have an old tablet that still works fine because I didn't feel like paying extra for a new computer, plus one time fees are way out of my budget."
83,Perumahan Negara Lambak Kanan Kawasan 4,Mukim Berakas B,Brunei-Muara,Female,30,Master Degree,9,Very Good,Very Good,52,130,Most websites are just pointless scrolling pages that don't really teach me anything useful for school or work anymore.
84,Perumahan Negara Rimba Kawasan 1,Mukim Gadong A,Brunei-Muara,Male,38,A Level,13,Fair,Good,52,70,It's tough for me to keep up with the latest online tools and features because I don't have anyone to show them to who understands tech like I do.
85,Kg. Sungai Buloh,Mukim Mentiri,Brunei-Muara,Female,47,National Diploma,54,Good,Very Good,218,800,The speed just gets slow enough that it drives me crazy when I'm in the middle of something important.
86,Kg. Lambak Kiri,Mukim Berakas A,Brunei-Muara,Female,31,Higher National Diploma,57,Good,Poor,34,110,"I'm really torn between keeping and upgrading my phone, but honestly, it's just not worth the price these new models are asking."
87,Kg. Pandan A,Mukim Kuala Belait,Belait,Male,42,A Level,36,Good,Excellent,217,530,It's really frustrating when I'm trying to stream a video and there's no reliable signal at all - it just drops every five seconds.
88,Kg. Lambak B,Mukim Berakas A,Brunei-Muara,Male,64,Higher National Diploma,52,Very Good,Fair,216,370,It's super frustrating when I get buffering videos on live streams because my internet just can't keep up with the demand.
89,Kg. Tanjong Panjang,Mukim Tanjong Maya,Tutong,Male,29,Lower Secondary,173,Fair,Fair,216,640,"It's annoying me that they only get a handful of updates a year, so I feel like I'm always still behind with the latest apps and features."
90,Perumahan Negara Lumut Kawasan 2,Mukim Liang,Belait,Female,42,Higher National Diploma,48,Good,Very Good,213,230,It's slow going for me whenever too many videos get downloaded on their scheduled nights.
91,Kg. Bukit Beruang,Mukim Telisai,Tutong,Female,39,Bachelor Degree,11,Good,Very Good,213,400,"I'd love to use more internet if I could afford it, but $75 a month for just browsing and emailing is crazy to me."
92,Perumahan Negara Mentiri Kawasan B,Mukim Mentiri,Brunei-Muara,Male,39,Higher National Diploma,48,Excellent,Fair,212,340,I rarely stream movies or shows because it's just not affordable on my tight monthly budget.
93,Kg. Kuala Lurah,Mukim Pangkalan Batu,Brunei-Muara,Female,38,O Level,59,Poor,Good,211,490,I try to cut back on streaming and just use free public Wi-Fi whenever possible.
94,Kg. Mata-Mata,Mukim Gadong B,Brunei-Muara,Male,37,Higher National Diploma,54,Good,Fair,211,710,"I have to settle for 5G just on occasion because out here, regular Wi-Fi is super sketchy most of the time."
95,Perumahan Negara Rimba Kawasan 5,Mukim Gadong A,Brunei-Muara,Female,43,Master Degree,178,Fair,Very Good,210,370,I'm really cutting back on using the internet at home just because I don't think it's worth the monthly bill anymore.
96,Kg. Panchor Mentiri,Mukim Mentiri,Brunei-Muara,Female,29,Bachelor Degree,168,Good,Fair,210,520,I avoid going on long video calls because I'm constantly concerned that I'll exceed my limited data plan and get an inflated bill afterwards.
97,Kg. Sinarubai,Mukim Kilanas,Brunei-Muara,Male,55,Higher National Diploma,231,Good,Good,210,580,"To be honest, it's hard on me when my family members are at each other's throats online because we only have this connection for homework and studies."
98,Pekan Kuala Belait,Mukim Kuala Belait,Belait,Female,50,Bachelor Degree,13,Good,Fair,33,60,I try to only stream a few hours of video per week due to how fast my data plan would eat up if I watched anything more.
99,Kg. Kilugus,Mukim Lumapas,Brunei-Muara,Female,46,Bachelor Degree,217,Good,Fair,209,270,I really struggle to find reliable internet sources when everyone seems to have conflicting information.
100,Kg. Mentiri,Mukim Mentiri,Brunei-Muara,Male,31,Bachelor Degree,21,Very Good,Good,209,430,I'm too intimidated to try some of the more advanced tools features when I have to figure everything out on my own instead of being able to get assistance from someone who understands it better.
101,Perumahan Negara Lambak Kanan Kawasan 4,Mukim Berakas B,Brunei-Muara,Male,29,Bachelor Degree,225,Good,Good,208,320,"It's really frustrating whenever I try to do something that requires a lot of bandwidth, like uploading videos or streaming movies, because it just won't go through on my limited plan."
102,Perumahan Negara Lambak Kanan Kawasan 2,Mukim Berakas B,Brunei-Muara,Female,49,Bachelor Degree,194,Very Good,Good,208,470,Most websites are just more drama than substance for me – they don't really help with anything I need every day.
103,STKRJ Mata-Mata Kawasan 3,Mukim Gadong B,Brunei-Muara,Female,51,A Level,54,Good,Good,208,720,I really want to use more internet deals like the one we offer here but they don't seem worth it to me sometimes.
104,Kg. Selayun,Mukim Sengkurong,Brunei-Muara,Male,64,O Level,148,Good,Good,8,120,"It's frustrating when all I get is ads with annoying pop-ups, making it hard to actually use the internet for anything useful."
105,Kg. Luagan Dudok,Mukim Keriam,Tutong,Female,32,Higher National Diploma,62,Good,Very Poor,52,120,"It's hard when I need to stay connected with family and friends remotely, but their system forces me to pay an extra fee just for one-time setup and maintenance, which is just too steep."
106,Pekan Muara,Mukim Serasa,Brunei-Muara,Male,26,Master Degree,17,Good,Good,208,280,It's frustrating when you're trying to stream your favorite show because it keeps buffering like every other night this week still isn't going right.
107,Kg. Bukit Beruang,Mukim Telisai,Tutong,Male,41,Bachelor Degree,54,Fair,Excellent,33,120,I'd quit streaming services that can't get even basic 4K videos loaded without buffering because of how bad it is out here.
108,Kg. Bukit Beruang,Mukim Telisai,Tutong,Male,39,Lower Secondary,42,Good,Good,208,1000,It's really frustrating to try to stream stuff when my slow internet is constantly buffering due to having too little data monthly.
109,Kg. Jaya Setia,Mukim Berakas A,Brunei-Muara,Female,21,Master Degree,55,Fair,Good,206,510,I rarely use this connection at home just because it's so slow and unreliable compared to what I get from my mom's place down the street.
110,Kg. Limau Manis,Mukim Pangkalan Batu,Brunei-Muara,Female,18,Lower Secondary,682,Fair,Fair,52,60,It would be way more convenient if they didn't charge such a steep one-time fee for installing their platform – really doesn't need to break the bank like that.
111,Kg. Bunut Perpindahan,Mukim Kilanas,Brunei-Muara,Male,27,O Level,163,Fair,Good,205,460,I've been trying to set up a home network for ages but every attempt has ended in frustration because I just don't know enough about networking and it's holding me back from staying connected.
112,Kg. Kuala Lurah,Mukim Pangkalan Batu,Brunei-Muara,Female,43,Master Degree,917,Very Good,Fair,204,660,"I rarely make video calls because no matter how good internet is everywhere else in UK, as soon as i move more than 5 miles from home my signal cuts out completely."
113,STKRJ Mata-Mata Kawasan 3,Mukim Gadong B,Brunei-Muara,Female,39,National Diploma,30,Excellent,Very Good,203,600,I never know if I'm going to get a stable connection or have a reliable internet speed when I need it most.
114,Kg. Menglait,Mukim Gadong B,Brunei-Muara,Male,51,National Diploma,683,Fair,Very Good,203,150,I'm stuck in rural areas and it's hard to get reliable internet when it costs an arm and a leg.
115,Kg. Mumong A,Mukim Kuala Belait,Belait,Male,47,Primary School,63,Very Good,Good,203,280,I don't need reliable internet at home because my neighbor is working from home too and it's just too distracting.
116,Kg. Mata-Mata,Mukim Gadong B,Brunei-Muara,Female,29,O Level,64,Good,Poor,203,640,I'd rather pay bills on time than cut back on the few channels that really connect me to friends and family out of town.
117,Kg. Mulaut,Mukim Sengkurong,Brunei-Muara,Male,27,Bachelor Degree,97,Poor,Fair,203,520,"I'd rather work from home but my kids only do their homework at the library, so I have to swing by there to get online when they're not around."
118,Kg. Jerudong,Mukim Sengkurong,Brunei-Muara,Male,40,O Level,29,Excellent,Excellent,202,500,I never finish paying my bills on time because it's always such a hassle to navigate their website and track the different charges for my internet plan.
119,Kg. Jangsak,Mukim Kilanas,Brunei-Muara,Male,36,O Level,27,Good,Very Good,201,740,I almost never use the internet to get things like taxes done or renew license plates because paying that one-time registration fee plus the hefty install fee was way out of budget for me.
120,Kg. Lambak B,Mukim Berakas A,Brunei-Muara,Female,19,O Level,839,Very Good,Fair,33,120,I get really frustrated when my internet buffer just restarts itself for the hundredth time because it's just never getting any faster around here.
121,Kg. Panchor Mentiri,Mukim Mentiri,Brunei-Muara,Male,51,O Level,54,Good,Excellent,33,110,It's hard to afford a reliable internet connection with all the bills piling up every month.
122,Kg. Katok,Mukim Gadong A,Brunei-Muara,Female,27,Master Degree,395,Very Good,Very Good,52,150,It's frustrating when you're trying to browse or stream something but your internet just can't keep up with demand.
123,Kg. Panchor Mentiri,Mukim Mentiri,Brunei-Muara,Female,36,Bachelor Degree,58,Good,Very Good,201,510,"It's hard for me when our home service keeps dropping out, gotta rely on my phone plan instead."
124,Perumahan Negara Lambak Kanan Kawasan 4,Mukim Berakas B,Brunei-Muara,Female,41,Bachelor Degree,58,Very Good,Very Good,201,490,I'm really limited with how much browsing I can do per month because I have too few GBs for all the streaming shows I love.
125,Perumahan Negara Mentiri Kawasan B,Mukim Mentiri,Brunei-Muara,Female,18,Higher National Diploma,644,Very Good,Fair,33,40,It's hard to stream videos or play online games for me when my limited plan just can't handle it anymore.
126,Kg. Sungai Buloh,Mukim Mentiri,Brunei-Muara,Male,41,A Level,18,Very Good,Fair,33,110,"I struggle to use websites and online tools properly because there's just too much to learn, even after doing research for hours."
127,Kg. Jaya Setia,Mukim Berakas A,Brunei-Muara,Female,22,O Level,19,Good,Very Good,200,450,"I dread talking on the phone because poor reception always drops us anyway, no matter how much we try to fix our positions or move around."
128,STKRJ Mata-Mata Kawasan 1,Mukim Gadong B,Brunei-Muara,Female,46,O Level,6,Good,Good,51,90,"It's really frustrating when I'm trying to get work done on the go and my call drops every 5 minutes, it kills productivity."
129,Perumahan Negara Mentiri Kawasan B,Mukim Mentiri,Brunei-Muara,Female,53,Primary School,428,Fair,Good,199,830,It's hard on my budget when I see what you guys charge for fast internet plans in this area.
130,Kg. Pandan C,Mukim Kuala Belait,Belait,Male,56,Higher National Diploma,51,Good,Very Good,199,590,"The cheapest internet plan they offer feels like it costs two weeks' worth of pay, so I'm limited to just browsing news online."
131,Kg. Anggerek Desa,Mukim Berakas A,Brunei-Muara,Male,38,Bachelor Degree,55,Very Good,Good,199,570,It's hard for me to justify the expense on top of my already thin budget when every little extra bit adds up at home.
132,Kg. Serusop,Mukim Berakas A,Brunei-Muara,Male,48,Bachelor Degree,223,Very Good,Fair,199,330,The monthly bill for my internet just makes me feel really stressed and like I'm overspending on something I barely use.
133,Kg. Lambak B,Mukim Berakas A,Brunei-Muara,Male,32,National Certificate,68,Excellent,Very Good,198,360,It's really frustrating when I try to stream something and it just cuts out on me because no one else is available in our area.
134,Kg. Panchor Mentiri,Mukim Mentiri,Brunei-Muara,Male,38,Higher National Diploma,55,Good,Very Good,33,120,It's really frustrating for me to buy a new phone plan every year because of those huge one-time fees that eat into my savings right away.
135,Perumahan Negara Rimba Kawasan 4,Mukim Gadong A,Brunei-Muara,Male,22,A Level,53,Good,Good,198,330,I feel like I'm stuck in a constant struggle to find free WiFi all over town because of this ridiculously small data plan that never seems to stretch far enough.
136,Kg. Lumut Tersusun,Mukim Liang,Belait,Male,24,Lower Secondary,75,Fair,Very Good,198,470,I rarely use public Wi-Fi because it's hard when you don't know who else is connected and what they're doing with your phone.
137,Kg. Telisai,Mukim Telisai,Tutong,Male,50,Lower Secondary,61,Good,Good,197,630,"Honestly, most of the apps and services I try to use are just not very well designed for older phones like mine."
138,Kg. Mata-Mata,Mukim Gadong B,Brunei-Muara,Male,20,Master Degree,395,Good,Good,197,310,It's frustrating when I try to set up a new app and I'm steered back to an outdated version because my device doesn't support it.
139,Kg. Panaga,Mukim Seria,Belait,Male,61,Higher National Diploma,55,Good,Fair,197,480,I don't really need our internet at home since we have friends with super fast Wi-Fi just down the street.
140,Kg. Kilanas,Mukim Kilanas,Brunei-Muara,Female,47,Higher National Diploma,16,Good,Good,51,300,It's really frustrating when I'm trying to stream something or make an online call and it's painfully slow due to poor connection speeds at my end of the line.
141,Kg. Telanai,Mukim Kilanas,Brunei-Muara,Female,31,Bachelor Degree,22,Good,Fair,195,690,It's frustrating when I try to watch an important thing that just happens right at 7pm tonight and it can't even get online because nobody else around me has it.
